time; F_set; F_input; F_error; F_output +; F_output -; T_set; T_input; T_error; T_output +; T_output -; S_set; S_input; S_error; S_output +; S_output -; F_kp+; F_kp-; F_ki+; F_ki-; F_kd+; F_kd-; T_kp+; T_kp-; T_ki+; T_ki-; T_kd+; T_kd-; S_kp+; S_kp-; S_ki+; S_ki-; S_kd+; S_kd-
0.06; -0.35555; -0.00368; -0.35187; 0; 0.50068; 0.12021; 0.00285; 0.11736; 0.25519; 0; 0.17233; 0.00141; 0.17092; 0.37158; 0; -0.4785; 0.50068; 0; 0; 0; 0; 0.25519; -0.25508; 0; 0; 0; 0; 0.37158; -0.37156; 0; 0; 0; 0; 
0.1; 0.4657; -0.26136; 0.72706; 0.99287; 0; 0.39931; 0.23781; 0.1615; 0.35082; 0; 0.29137; 0.20568; 0.08569; 0.18527; 0; 0.98873; -1.03456; 0.00373; 0; 0.00041; 0.0005; 0.35117; -0.35102; 0.00212; 0; -0.00247; -0.00247; 0.18629; -0.18628; 0.00112; 0; -0.00215; -0.00215; 
0.14; 0.4662; -0.26861; 0.73481; 1; 0; 0.40843; 0.24084; 0.16759; 0.3687; 0; 0.28669; 0.21132; 0.07538; 0.16592; 0; 0.99927; -1.04559; 0.00072; 0; 1E-05; 1E-05; 0.36441; -0.36425; 0.00432; 0; -3E-05; -3E-05; 0.16387; -0.16386; 0.00211; 0; -6E-05; -6E-05; 
0.2; 0.46694; -0.25632; 0.72327; 0.98984; 0; 0.40647; 0.25514; 0.15133; 0.33625; 0; 0.27691; 0.22049; 0.05642; 0.12581; 0; 0.98356; -1.02916; 0.00629; 0; -1E-05; -2E-05; 0.32905; -0.3289; 0.0073; 0; -0.0001; -0.0001; 0.12265; -0.12264; 0.00322; 0; -6E-05; -6E-05; 
0.24; 0.46734; -0.21702; 0.68436; 0.9404; 0; 0.39608; 0.27792; 0.11816; 0.26555; 0; 0.268; 0.22754; 0.04046; 0.09164; 0; 0.93066; -0.9738; 0.00981; 0; -6E-05; -8E-05; 0.25694; -0.25683; 0.00885; 0; -0.00024; -0.00024; 0.08796; -0.08796; 0.00375; 0; -7E-05; -7E-05; 
0.28; 0.46766; -0.17717; 0.64483; 0.88995; 0; 0.37484; 0.30154; 0.0733; 0.16895; 0; 0.25702; 0.23411; 0.02292; 0.05381; 0; 0.87689; -0.91754; 0.01312; 0; -6E-05; -8E-05; 0.15939; -0.15932; 0.00981; 0; -0.00025; -0.00025; 0.04982; -0.04982; 0.00406; 0; -7E-05; -7E-05; 
0.32; 0.46797; -0.1163; 0.58427; 0.81056; 0; 0.32365; 0.33792; -0.01427; 0; 0.03083; 0.23748; 0.24317; -0.00569; 0; 0.01235; 0.79454; -0.83138; 0.01612; 0; -0.0001; -0.00012; -0.03104; 0.03103; 0; 0.00019; -0.00038; -0.00038; -0.01238; 0.01237; 0; 7E-05; -0.0001; -0.0001; 
0.38; 0.46808; -0.07764; 0.54573; 0.76241; 0; 0.28004; 0.35577; -0.07573; 0; 0.16615; 0.22343; 0.24575; -0.02232; 0; 0.04902; 0.74213; -0.77653; 0.02032; 0; -4E-05; -5E-05; -0.16467; 0.1646; 0; 0.00168; -0.00013; -0.00012; -0.04853; 0.04853; 0; 0.00051; -2E-05; -2E-05; 
0.42; 0.46812; -0.03866; 0.50679; 0.71204; 0; 0.23102; 0.37324; -0.14223; 0; 0.31249; 0.2091; 0.24828; -0.03918; 0; 0.08618; 0.68918; -0.72112; 0.02292; 0; -6E-05; -8E-05; -0.30926; 0.30913; 0; 0.00354; -0.00018; -0.00018; -0.08518; 0.08518; 0; 0.00103; -3E-05; -3E-05; 
0.46; 0.4681; -0.00489; 0.47299; 0.66851; 0; 0.18283; 0.37329; -0.19046; 0; 0.42; 0.19488; 0.24827; -0.0534; 0; 0.11781; 0.64322; -0.67304; 0.02535; 0; -5E-05; -7E-05; -0.41414; 0.41396; 0; 0.00604; 0; 0; -0.11608; 0.11608; 0; 0.00173; 0; 0; 
